date,RECORD,main_Tot,Batt_Volt_Avg,PV_generated_Tot,HP_in_Tot,HP_out_Tot,Fantech_Tot,solar_HW_pump_Tot,HW_Tot,bathup_lts_Tot,LVL1_lts_Tot,bed_Tot,dryer_Tot,wash_Tot,kitch_plg_Tot,LVL1_plg_Tot,gar_ext_plg_Tot,fridge_Tot,dish_Tot,range_Tot,RoofS_tmp_Avg,AtticFlrS_tmp_Avg,RoofN_tmp_Avg,AtticFlrN_tmp_Avg,BonusFlr_tmp_Avg,CantFlr_tmp_Avg,WallNcav_tmp_Avg,WallNsrf_tmp_Avg,WallScav_tmp_Avg,WallSsrf_tmp_Avg,FanTsup_tmp_Avg,FanTret_tmp_Avg,FanTexh_tmp_Avg,FanTint_tmp_Avg,Din_tmp_Avg,Grt_tmp_Avg,Brkf_tmp_Avg,Kit_tmp_Avg,BedM_tmp_Avg,Bed3_tmp_Avg,Bed2_tmp_Avg,BedB_tmp_Avg,Mbath_tmp_Avg,RoofS_RH_Avg,AtticFlrS_RH_Avg,RoofN_RH_Avg,AtticFlrN_RH_Avg,BonusFlr_RH_Avg,CantFlr_RH_Avg,WallNcav_RH_Avg,WallNsrf_RH_Avg,WallScav_RH_Avg,WallSsrf_RH_Avg,FanTsup_RH_Avg,FanTret_RH_Avg,FanTexh_RH_Avg,FanTint_RH_Avg,RoofS_HFT_Avg,AtticFlrS_HFT_Avg,RoofN_HFT_Avg,AtticFlrN_HFT_Avg,BonusFlr_HFT_Avg,CantFlr_HFT_Avg,NWallcav_HFT_Avg,SWallcav_HFT_Avg,LVL2_Tmp_Avg,LVL1_Tmp_Avg,Attic_Tmp_Avg,LVL2_RH_Avg,LVL1_RH_Avg,Attic_RH_Avg,HWhot_tmp_Avg,HWcold_tmp_Avg,Shower_tmp_Avg,HW_flow_Tot,WHouse_flow_Tot,DishHot_flow_Tot,WashCold_flow_Tot,WashHot_flow_Tot,MShower_flow_Tot,FanT_SUPflow_Tot,FanT_RETflow_Tot,Outside_Tmp_Avg,Outside_RH_Avg,wind_speed_mean,wind_dir_mean,wind_dir_std,SlrW1_Avg,SlrW_Avg,SlrW_PV_Avg,SlrW_Swall_Avg,Rain_in_Tot,bath_plg_Tot,gar_ext_lts_Tot,garage_tmp_Avg,jacuzzi_plg_Tot,dishHot_tmp_Avg,washHot_tmp_Avg,L1_heater_Tot,Tstat1_tmp_Avg,Tstat2_tmp_Avg,TV_plg_Tot,ti
2013-10-01,814.0,401.3263157894737,12.801684210526316,116.79368421052631,12.43421052631579,49.613684210526316,9.928410526315789,0.0,36.05789473684211,3.1289473684210525,6.777052631578948,3.497578947368421,52.05789473684211,5.484578947368421,42.880736842105264,36.35778947368421,5.901473684210526,12.043684210526317,9.250263157894736,12.347368421052632,26.29654970760234,24.537894736842105,22.790000000000003,23.63204678362573,22.659415204678364,22.84029239766082,19.564619883040937,23.11941520467836,24.058538011695905,23.612865497076022,23.050555555555558,23.971,20.78611111111111,19.372888888888887,23.424327485380118,23.717719298245616,23.692163742690056,23.787660818713448,24.07,23.531637426900584,23.269005847953217,22.971988304093568,24.599298245614037,47.746421052631575,57.93273684210526,53.3918947368421,57.44084210526316,65.7158947368421,58.03978947368421,65.04557894736843,58.81947368421053,49.05852631578948,55.92557894736842,63.558,56.9416,75.4302,100.48379999999999,-6.402126315789474,-0.07865263157894736,0.26750526315789475,-0.01842105263157895,-0.10977894736842106,-0.057189473684210526,0.3200631578947368,-0.05531578947368422,24.187953216374268,24.179766081871342,23.116140350877192,49.70547368421053,49.972631578947365,51.7098947368421,48.337037037037035,22.459259259259262,32.980555555555554,0.7180947368421052,1.0344947368421054,0.04311578947368421,0.22935789473684212,0.10094736842105263,0.6260736842105263,552.3105263157895,605.2263157894737,18.387309941520467,81.978,0.36914736842105267,64.3778947368421,15.145505263157895,144.6426105263158,232.30569473684213,288.87694736842104,196.74792631578947,0.0,16.67136842105263,3.8807368421052635,21.16578947368421,28.923473684210528,38.08333333333333,36.388888888888886,41.90115789473684,24.22748538011696,,5.007536842105263,23.659543859649123
2013-10-02,909.5,410.8177083333333,12.796041666666667,100.5703125,14.986979166666666,61.37135416666666,9.80875,0.0,35.083333333333336,3.1510416666666665,7.077500000000001,3.5041666666666664,47.911458333333336,4.775,42.365520833333335,36.24989583333333,5.711041666666667,13.601875,10.455260416666667,12.182291666666666,26.967997685185185,24.682060185185183,25.03917824074074,23.77957175925926,22.807754629629628,23.003819444444446,21.560532407407408,23.321469907407405,24.28738425925926,23.672569444444445,23.521444444444445,24.002333333333333,21.944222222222223,20.781666666666666,23.462500000000002,23.73153935185185,23.66440972222222,23.792708333333334,24.15341435185185,23.58298611111111,23.39959490740741,23.069212962962965,24.66568287037037,47.368125,58.12958333333333,51.89864583333334,57.99197916666666,65.57520833333334,58.39760416666667,63.83770833333333,58.899791666666665,46.91635416666667,55.618125,65.67779999999999,56.843599999999995,75.9826,104.9394,-4.618052083333333,-0.009885416666666669,-0.9771562500000001,0.06671875000000001,-0.10039583333333334,-0.04278125,0.11163541666666667,-0.06709375000000002,24.294270833333332,24.18865740740741,24.85648148148148,49.465624999999996,49.95072916666667,50.529583333333335,48.40873015873016,22.430555555555554,32.992777777777775,0.70290625,1.0391458333333334,0.04320833333333333,0.2540833333333333,0.09233333333333334,0.61734375,545.3781250000001,600.0270833333333,20.03755787037037,82.4303125,0.23526041666666667,58.4840625,9.92028125,149.58165625,203.842125,269.42812499999997,143.83286458333333,0.0,16.927604166666665,3.82859375,21.513657407407408,29.033645833333335,38.16666666666667,36.27777777777777,40.89015625,24.269097222222225,,4.933739583333334,23.710503472222225
2013-10-03,1005.5,395.8177083333333,12.798020833333334,107.32291666666667,15.963541666666666,66.44427083333333,9.781583333333334,0.0,35.1875,3.1510416666666665,6.765000000000001,3.5052604166666668,27.59375,5.101822916666667,41.36666666666667,35.31666666666667,5.707083333333333,14.894114583333334,10.447395833333333,12.1875,29.00034722222222,24.698090277777776,26.32054398148148,23.786631944444448,22.908159722222223,23.11996527777778,22.616608796296294,23.3931712962963,26.07210648148148,23.743287037037035,23.89377777777778,23.961111111111112,22.97233333333333,22.03411111111111,23.459085648148147,23.743634259259256,23.661805555555556,23.769849537037036,24.17303240740741,23.632175925925925,23.43761574074074,23.124074074074073,24.63894675925926,45.4765625,58.359375,50.84947916666667,58.31729166666667,65.61562500000001,59.06395833333334,61.23802083333334,58.55552083333333,46.28843749999999,55.510625000000005,65.7398,56.7456,73.9028,102.8716,-5.514125,0.04059375,-0.6075,0.1280625,-0.07653125,-0.014291666666666666,0.05815625,-0.21860416666666668,24.29525462962963,24.09982638888889,26.285185185185185,49.126979166666665,49.57479166666667,49.1409375,48.36904761904761,22.408730158730158,33.007222222222225,0.7038645833333333,1.02753125,0.04307291666666666,0.24548958333333334,0.09577083333333332,0.6178854166666666,545.8739583333333,597.7781249999999,21.427835648148147,80.80802083333333,0.2692291666666667,66.03229166666667,13.63034375,139.96511458333333,213.32337499999997,284.81947916666667,164.10284375,0.0,16.901666666666667,3.8311458333333337,21.907060185185184,29.0334375,38.22222222222222,36.69444444444444,40.79927083333333,24.241493055555555,,4.940270833333334,23.727239583333333
2013-10-04,1101.5,353.265625,12.791458333333333,123.76770833333335,16.106770833333332,70.7859375,9.787114583333333,0.0,31.140625,3.1484375,6.789739583333333,3.50265625,0.4739583333333333,0.51171875,40.965624999999996,35.38614583333334,5.698072916666667,12.412760416666666,2.26828125,12.291666666666666,28.54074074074074,24.651909722222225,25.410648148148145,23.725752314814816,22.89050925925926,23.066782407407405,21.687673611111112,23.27662037037037,26.29803240740741,23.70480324074074,23.683000000000003,23.88488888888889,22.550777777777782,21.536666666666665,23.38854166666667,23.688773148148147,23.61712962962963,23.738368055555554,24.113715277777775,23.566435185185185,23.333680555555556,23.014930555555555,24.59334490740741,46.18208333333333,57.384375,51.3759375,57.301874999999995,65.75989583333333,59.193333333333335,60.495104166666664,57.66260416666666,44.419895833333335,54.62625,64.1238,56.117799999999995,72.7254,99.27,-5.904760416666666,0.030041666666666664,0.06535416666666662,0.11955208333333334,-0.06310416666666667,-0.0071354166666666675,0.15357291666666667,-0.2518854166666667,24.212037037037035,24.082060185185185,25.83269675925926,48.40072916666667,48.901041666666664,48.62385416666667,48.733333333333334,23.11111111111111,32.93944444444445,0.55890625,0.6429791666666667,0.0,0.0,0.0,0.6186145833333333,546.834375,598.2302083333333,20.752372685185183,79.215625,0.29928125,52.9801875,13.379052083333333,157.72717708333332,250.75057291666667,320.0836458333333,199.81489583333334,0.0,16.872239583333332,3.836302083333333,21.924247685185183,28.982812499999998,,,40.73739583333333,24.17638888888889,,4.94734375,23.66213541666667
2013-10-05,1197.5,363.984375,12.7940625,129.9546875,17.34375,79.41979166666667,9.784729166666667,0.0,29.666666666666668,3.1484375,6.766249999999999,3.5080729166666664,0.4739583333333333,0.5130208333333334,43.53635416666666,35.43770833333333,5.82046875,12.166614583333333,0.4583333333333333,12.223958333333334,29.69809027777778,24.85185185185185,26.169907407407408,23.876215277777778,22.95763888888889,23.12673611111111,22.08425925925926,23.40335648148148,27.058275462962964,23.88113425925926,23.975555555555555,24.01733333333333,23.129777777777775,22.166,23.490624999999998,23.7865162037037,23.722453703703703,23.836458333333336,24.27552083333333,23.724652777777777,23.45306712962963,23.125810185185188,24.773611111111112,44.931666666666665,56.9565625,50.67458333333334,57.479479166666664,65.94854166666667,59.08197916666666,60.409375000000004,57.728541666666665,42.492916666666666,54.315,54.9212,56.0638,72.4688,100.2598,-6.7048854166666665,0.053281249999999995,0.04757291666666663,0.15478125,-0.07328125,-0.013291666666666667,0.10428125,-0.3164791666666667,24.349594907407408,24.163136574074073,26.628530092592595,48.358125,48.84395833333334,47.90927083333333,48.022222222222226,20.884444444444448,40.41111111111111,0.5582708333333333,0.6497708333333333,0.0,0.0,0.0,0.6200312499999999,547.9479166666666,597.8770833333333,21.49537037037037,79.15989583333334,0.3961666666666667,50.984166666666674,12.769270833333332,168.86873958333334,265.36321875,346.23083333333335,212.50539583333332,0.0,16.856458333333332,3.8403645833333333,21.974305555555556,30.879166666666666,,,40.83260416666666,24.27384259259259,,4.941770833333334,23.791336805555556
2013-10-06,1293.5,349.296875,12.791666666666666,102.859375,15.598958333333334,67.97500000000001,9.860864583333333,0.0,29.890625,3.1666666666666665,6.76890625,3.5222916666666664,0.4791666666666667,0.515625,40.6475,35.39114583333333,5.76828125,12.254166666666668,0.46484375,12.21875,27.061458333333334,24.644502314814815,25.477256944444445,23.703877314814815,22.941377314814815,23.119907407407407,22.61967592592593,23.33582175925926,24.71863425925926,23.61730324074074,23.895,23.872,23.045666666666666,22.201777777777778,23.419733796296295,23.675636574074073,23.592997685185185,23.70324074074074,24.117939814814815,23.540393518518517,23.37251157407407,23.07071759259259,24.602604166666666,46.07145833333333,56.81760416666666,50.539791666666666,56.7346875,66.105625,59.1759375,59.63520833333334,57.16833333333333,43.18125,54.116770833333334,38.0552,55.654799999999994,69.9744,93.76899999999999,-3.571135416666667,0.01890625,-0.6931979166666666,0.103,-0.06120833333333334,-0.001395833333333333,0.03325,-0.09669791666666668,24.22158564814815,24.040625000000002,25.42523148148148,47.870312500000004,48.349687499999995,48.74885416666667,48.044444444444444,21.00111111111111,40.41111111111111,0.5609791666666667,0.6538020833333333,0.0,0.0,0.0,0.6203854166666667,555.5604166666667,602.3114583333333,21.982002314814817,75.04833333333333,0.8257500000000001,130.644375,35.667739583333336,154.67617708333333,201.90648958333335,277.72322916666667,139.84276041666666,0.00010416666666666667,17.047447916666666,3.8571875,22.100752314814816,30.745833333333334,,,41.65421875,24.213136574074074,,4.951302083333333,23.66361689814815
2013-10-07,1389.5,344.5833333333333,12.803020833333335,140.10260416666668,11.5625,37.8328125,10.120166666666666,0.0,42.567708333333336,3.1822916666666665,7.052656249999999,3.525,0.46875,0.515625,43.80583333333333,36.074374999999996,5.859427083333333,14.905781249999999,8.572395833333333,12.265625,24.7609375,24.330844907407407,20.49681712962963,23.467824074074073,22.673379629629633,22.793229166666666,17.218576388888888,22.894849537037036,23.620949074074076,23.45306712962963,22.461844863731653,23.734591194968555,19.47410901467505,17.911844863731655,23.31041666666667,23.618055555555557,23.616550925925925,23.69988425925926,23.94068287037037,23.37002314814815,23.075868055555556,22.841435185185187,24.43923611111111,44.747395833333336,55.210208333333334,50.69927083333334,54.57583333333333,66.23802083333334,58.5415625,61.34822916666667,55.49770833333333,44.884375,53.42697916666666,36.61735849056604,54.3577358490566,69.57320754716982,83.4354716981132,-6.4591875,-0.12055208333333334,1.2663645833333332,-0.017666666666666667,-0.07965625,-0.038385416666666665,0.6601979166666666,0.060906249999999995,23.997685185185187,24.074074074074076,21.490798611111114,47.25958333333333,47.341770833333335,47.68958333333333,48.817460317460316,20.998412698412697,40.455555555555556,0.6029687499999999,0.6946458333333334,0.042937499999999997,0.0,0.0,0.6216666666666667,565.6715625,619.8411458333334,15.558854166666668,74.03677083333334,1.0500625,96.468,28.592927083333333,164.60329166666665,271.40377083333334,314.6276041666667,233.53427083333335,0.0021874999999999998,17.6965625,3.917135416666667,21.31736111111111,29.252395833333335,38.69444444444444,,43.326145833333335,24.11741898148148,,4.941479166666666,23.528217592592593
2013-10-08,1485.5,388.8177083333333,12.808645833333335,143.96458333333334,9.283854166666666,31.494791666666668,9.929864583333332,0.0,42.369791666666664,3.1744791666666665,6.771614583333334,3.5184374999999997,52.5,5.2178125,44.50833333333333,35.23614583333333,5.8021875,12.112083333333333,10.4140625,12.223958333333334,22.719444444444445,24.155439814814816,18.39554398148148,23.243692129629633,22.216724537037038,22.18755787037037,15.735069444444443,22.534375,22.121412037037036,23.225289351851853,22.110404040404042,23.673434343434344,18.759191919191917,16.992727272727272,23.151099537037037,23.475115740740744,23.50572916666667,23.615972222222222,23.764236111111114,23.169849537037038,22.798090277777778,22.54994212962963,24.325983796296295,46.413125,54.37041666666667,53.03604166666667,53.80875,65.96322916666666,56.667187500000004,67.1178125,55.648125,44.77114583333333,52.94291666666667,45.167272727272724,53.62618181818182,68.26109090909091,79.15436363636363,-6.3934999999999995,-0.19163541666666664,1.2864479166666667,-0.12235416666666667,-0.12204166666666666,-0.11485416666666666,0.59171875,0.043302083333333345,23.846006944444444,24.048726851851853,19.420543981481483,46.84166666666667,46.805416666666666,49.77239583333333,48.81111111111111,20.855,40.577777777777776,0.7045729166666667,1.0611875,0.043000000000000003,0.26695833333333335,0.10045833333333333,0.6264166666666666,552.06228125,606.7432708333333,15.250925925925927,68.87416666666667,1.4109583333333333,46.78035416666666,32.79444791666667,176.34754166666667,282.46040625,325.4426041666667,235.09579166666666,0.0,17.162499999999998,3.877864583333333,20.44508101851852,29.13864583333333,38.25,36.7962962962963,41.67942708333333,23.96267361111111,,4.943010416666667,23.352586805555557
2013-10-09,444.0,390.234375,12.821354166666666,138.17604166666666,9.8828125,35.635937500000004,9.927239583333334,0.0,42.859375,3.046875,6.805364583333334,3.4727083333333333,54.09375,5.051093750000001,40.654270833333335,35.307520833333335,5.754010416666667,11.9909375,10.53359375,12.234375,24.552430555555556,24.31579861111111,20.426909722222224,23.35949074074074,22.18142361111111,22.272164351851853,17.037037037037035,22.70636574074074,23.256712962962965,23.39178240740741,22.47277777777778,23.783444444444445,19.669666666666668,18.071555555555555,23.23553240740741,23.557696759259258,23.58107638888889,23.670949074074073,23.903993055555556,23.303587962962965,22.941145833333334,22.64878472222222,24.438483796296296,45.545520833333335,54.84125,52.678020833333335,54.572291666666665,65.52822916666666,56.66916666666666,69.35229166666666,56.6528125,43.62447916666667,53.43427083333333,58.699799999999996,54.684,71.7108,90.18860000000001,-6.671677083333333,-0.13473958333333333,1.0671041666666667,-0.07910416666666667,-0.13948958333333333,-0.10201041666666666,0.4888958333333333,-0.021281249999999984,23.928703703703704,24.053182870370367,21.378703703703703,47.4065625,47.36572916666666,49.017291666666665,48.84567901234568,20.589506172839506,40.68888888888889,0.6979479166666667,1.034875,0.04320833333333333,0.24672916666666667,0.09294791666666667,0.6271041666666667,552.2166666666667,605.2052083333333,16.308101851851852,76.86864583333333,0.6937916666666667,41.6508125,16.93794791666667,171.86047916666666,277.18146874999996,389.24864583333334,229.64060416666666,0.0,17.130104166666666,3.8675520833333334,20.318344907407408,28.737916666666667,39.083333333333336,36.27777777777778,41.09192708333333,24.043287037037036,,4.807052083333334,23.458483796296296
2013-10-10,117.5,364.9479166666667,12.830520833333333,128.37187500000002,9.700520833333334,34.838541666666664,9.925312499999999,0.0,41.953125,3.1666666666666665,6.762447916666667,3.5170833333333333,24.036458333333332,5.086354166666667,42.90385416666667,35.163020833333334,5.812552083333333,15.64703125,10.375052083333333,12.15625,23.232002314814817,24.44502314814815,19.570428240740743,23.51736111111111,22.34832175925926,22.512094907407405,16.561979166666667,22.844270833333336,22.42800925925926,23.49681712962963,22.40922222222222,23.91311111111111,19.24911111111111,17.547888888888888,23.346354166666668,23.66082175925926,23.685185185185187,23.8,24.024363425925927,23.428124999999998,23.08582175925926,22.795312499999998,24.570891203703706,46.435624999999995,55.101875,53.674479166666664,55.100625,65.05260416666667,57.12822916666667,70.09218750000001,56.99166666666667,43.78520833333334,53.76291666666666,58.9674,55.1926,73.277,91.58139999999999,-5.125197916666667,-0.14871874999999998,1.4002604166666666,-0.0664375,-0.1484895833333333,-0.09235416666666667,0.5611979166666666,0.07891666666666668,24.05428240740741,24.1587962962963,20.63454861111111,47.83604166666667,48.00364583333334,49.817708333333336,48.81481481481482,20.523456790123458,40.72222222222222,0.6911770833333333,1.0247187500000001,0.04307291666666666,0.24508333333333332,0.08758333333333335,0.62853125,551.6010416666667,604.0875,15.84212962962963,78.069375,0.4705625,69.03979166666666,12.8334375,162.065,255.97503125,383.35520833333334,210.21704166666666,0.0,17.122864583333335,3.8715625,20.27795138888889,29.215,38.5,35.80555555555556,41.62802083333333,24.15908564814815,,4.949802083333333,23.5825
