,t (s),U (W/m2),T(e/4),T(e/2),T(3e/4)
0,0.0,0.0,0.0,0.0,0.0
1,30.0,45.0,0.0,0.0,0.0
2,60.0,90.0,0.004501242917624235,5.421711429952462e-05,6.531355617431619e-07
3,90.0,135.0,0.020986342427594482,0.00036534099805395873,5.757533804117228e-06
4,120.0,180.0,0.05732188739285864,0.0013650807677595006,2.7391513293600714e-05
5,150.0,225.0,0.1202831833399825,0.0037463148448647573,9.345510285038808e-05
6,180.0,270.0,0.21512214809960611,0.008445118180491918,0.00025643058574398
7,210.0,315.0,0.3456633407226475,0.01658975242133187,0.0006017989103439131
8,240.0,360.0,0.5145741692977919,0.029436625221843742,0.0012547599670878545
9,270.0,405.0,0.7236446986403485,0.04830801074821869,0.0023844456950429227
10,300.0,450.0,0.9740210851067644,0.07453954780944198,0.004205404610212663
11,330.0,495.0,1.2663840647384985,0.10944025490486003,0.006976596530783759
12,360.0,540.0,1.6010801486747726,0.154264643116248,0.01099840602031446
13,390.0,585.0,1.9782164350067526,0.210195044047557,0.016608279794423756
14,420.0,630.0,2.3977287649876535,0.2783318665397013,0.024175568171062565
15,450.0,675.0,2.859430760921594,0.3596896394739804,0.03409605773950554
16,480.0,720.0,3.363049251325464,0.45519706060162435,0.046786564311986245
17,510.0,765.0,3.9082500016744457,0.5656996748260239,0.06267983930973371
18,540.0,810.0,4.494656511963582,0.6919641682168335,0.08221994339260898
19,570.0,855.0,5.121863824444164,0.8346835587184851,0.10585816358322017
20,600.0,900.0,5.789448714025056,0.9944827898681047,0.13404949410386569
21,630.0,945.0,6.496977236547772,1.1719243994298845,0.16724966366862803
22,660.0,990.0,7.244010333000908,1.3675140530530834,0.2059126691534572
23,690.0,1035.0,8.030107993351574,1.5817058155015378,0.2504887635725136
24,720.0,1080.0,8.854832346356387,1.814907088329999,0.30142284182416546
25,750.0,1125.0,9.717749943942426,2.0674831805776996,0.359153168124334
26,780.0,1170.0,10.618433438554275,2.339761503682296,0.42411039247086885
27,810.0,1215.0,11.556462801049694,2.6320353974249797,0.4967168084988979
28,840.0,1260.0,12.531426189645172,2.944567603171887,0.5773858107599172
29,870.0,1305.0,13.542920553142677,3.2775934059926057,0.666521515188417
30,900.0,1350.0,14.59055203146756,3.6313234698114347,0.7645185119511442
31,930.0,1395.0,15.673936201480295,4.005946390542137,0.8717617248133491
32,960.0,1440.0,16.792698204715254,4.401630991827103,0.988626355520782
33,990.0,1485.0,17.946472785161628,4.818528386989351,1.115477895472167
34,1020.0,1470.0,19.13490425872122,5.256773829406221,1.2526721901716862
35,1050.0,1425.0,20.35164477381232,5.716416082436144,1.4005546738065722
36,1080.0,1380.0,21.58337985807613,6.197257088184747,1.5594567481887742
37,1110.0,1335.0,22.81430471095314,6.698683067385879,1.7296874351398692
38,1140.0,1290.0,24.02982264149695,7.2195691487737115,1.9115200757611106
39,1170.0,1245.0,25.218104527641962,7.7582829686290795,2.1051758127305353
40,1200.0,1200.0,26.370248651361177,8.312765622976594,2.3108067274445276
41,1230.0,1155.0,27.479856199754618,8.880651918706342,2.5284814736692183
42,1260.0,1110.0,28.54247784315587,9.459396873845222,2.7581753879677793
43,1290.0,1065.0,29.55511574209753,10.046387926397056,2.9997659108840202
44,1320.0,1020.0,30.515829731689326,10.639033863479423,3.2530331466228843
45,1350.0,975.0,31.423443195291664,11.2348292108646,3.517664722857196
46,1380.0,930.0,32.277328980261224,11.83139687945886,3.793263803763366
47,1410.0,885.0,33.077255113161335,12.426513378336347,4.079359078674533
48,1440.0,840.0,33.823273779936954,13.01812098084848,4.3754156895604295
49,1470.0,795.0,34.51564120577367,13.604330650540671,4.680846280096651
50,1500.0,750.0,35.15475954010918,14.183418753365556,4.9950215824830995
51,1530.0,705.0,35.7411344531364,14.753819829430185,5.317280167987085
52,1560.0,660.0,36.27534401195134,15.314117062293652,5.64693715689208
53,1590.0,615.0,36.75801571085178,15.863031586540627,5.983291810000467
54,1620.0,570.0,37.189809440538326,16.399411403004247,6.325634011201965
55,1650.0,525.0,37.57140481531556,16.92222040272397,6.673249706060651
56,1680.0,480.0,37.9034917213121,17.43052781174028,7.02542539260326
57,1710.0,435.0,38.18676326139838,17.92349823852963,7.381451774459351
58,1740.0,390.0,38.42191049437294,18.40038241786069,7.740626688888561
59,1770.0,345.0,38.6096185247514,18.86050868669121,8.102257417369612
60,1800.0,300.0,38.7505636140322,19.303275190324058,8.465662477460793
61,1830.0,255.0,38.84541106762531,19.728142793879453,8.830172983738972
62,1860.0,210.0,38.89481371270735,20.134628660614915,9.195133654204419
63,1890.0,165.0,38.89941082737947,20.522300451526775,9.5599035274784
64,1920.0,120.0,38.85982741506042,20.89077109778222,9.923856445915108
65,1950.0,75.0,38.77667374317118,21.23969409734388,10.286381350637592
66,1980.0,30.0,38.650545084091696,21.568759288632286,10.646882426562849
67,2010.0,0.0,38.4820216107037,21.877689056534997,11.00477912867653
68,2040.0,0.0,38.27316882405018,22.16625300142885,11.359506332781212
69,2070.0,0.0,38.03003186062655,22.434332451194585,11.710515462045514
70,2100.0,0.0,37.760756615837124,22.68200741282752,12.057277664681449
71,2130.0,0.0,37.47336661445927,22.90961853747209,12.399289513614788
72,2160.0,0.0,37.174635727518144,23.117780368878147,12.736080685149473
73,2190.0,0.0,36.8698323963762,23.307350393796025,13.067222312649912
74,2220.0,0.0,36.56287402397303,23.479371929697635,13.3923345293113
75,2250.0,0.0,36.256600697733454,23.635009096625247,13.711092033758508
76,2280.0,0.0,35.95303986238377,23.775486387486918,14.02322706825417
77,2310.0,0.0,35.65362176584765,23.902039076955024,14.328529744857775
78,2340.0,0.0,35.35934251079216,24.015876140011674,14.62684605084568
79,2370.0,0.0,35.07088344863192,24.118154759300058,14.918074076186484
80,2400.0,0.0,34.7886974297261,24.20996439157082,15.202159061492113
81,2430.0,0.0,34.51307090621138,24.292318143683687,15.479087816747223
82,2460.0,0.0,34.244168746598646,24.36614942638464,15.748882959516527
83,2490.0,0.0,33.98206673793334,24.432312231366215,16.01159730371721
84,2520.0,0.0,33.726775307635,24.491583767996413,16.267308619469425
85,2550.0,0.0,33.47825695327611,24.544668537068418,16.516114892310643
86,2580.0,0.0,33.23643913314206,24.59220319124667,16.758130139561857
87,2610.0,0.0,33.00122385750213,24.63476173798887,16.993480791696577
88,2640.0,0.0,32.77249486335856,24.672860791120087,17.22230261390305
89,2670.0,0.0,32.55012300593947,24.70696468405416,17.444738123764218
90,2700.0,0.0,32.33397032488058,24.737490331876085,17.660934451453496
91,2730.0,0.0,32.12389311894011,24.764811780047573,17.871041585986887
92,2760.0,0.0,31.919744274536193,24.789264411225275,18.075210952492604
93,2790.0,0.0,31.721375029681138,24.811148803651488,18.27359426939717
94,2820.0,0.0,31.52863630866405,24.830734248443353,18.466342639648712
95,2850.0,0.0,31.34137972903242,24.848261941458134,18.65360583578096
96,2880.0,0.0,31.159458357515895,24.863947870062468,18.835531744246012
97,2910.0,0.0,30.982727273050063,24.8779854173369,19.01226593970707
98,2940.0,0.0,30.81104398124538,24.890547706865526,19.183951364727772
99,2970.0,0.0,30.64426871426189,24.901789710881214,19.350728094462
100,3000.0,0.0,30.482264642197816,24.91185014355423,19.512733169537352
101,3030.0,0.0,30.32489801613146,24.920853159890694,19.670100483370668
102,3060.0,0.0,30.172038258397656,24.928909879221354,19.82296071270773
103,3090.0,0.0,30.023558012183887,24.936119750722085,19.971441282300855
104,3120.0,0.0,29.879333159839494,24.942571776887586,20.11566635638716
105,3150.0,0.0,29.73924281721215,24.94834560942073,20.255756851063392
106,3180.0,0.0,29.603169309714303,24.953512530627314,20.39183046282149
107,3210.0,0.0,29.47099813457045,24.958136332130856,20.524001709456808
108,3240.0,0.0,29.342617912721188,24.96227410154971,20.652381980327924
109,3270.0,0.0,29.21792033309903,24.965976926707384,20.777079593564476
110,3300.0,0.0,29.096800091396336,24.969290525973705,20.898199858316627
111,3330.0,0.0,28.97915482497997,24.972255812452822,21.015845140538048
112,3360.0,0.0,28.864885045242282,24.974909398938554,21.130114931113297
113,3390.0,0.0,28.753894068391617,24.977284049840414,21.241105915395302
114,3420.0,0.0,28.646087945460632,24.979409085638874,21.348912043421976
115,3450.0,0.0,28.541375392133936,24.981310744849136,21.45362460024279
116,3480.0,0.0,28.439667718857674,24.983012507952463,21.555332275914985
117,3510.0,0.0,28.340878761584406,24.984535387287956,21.654121234831145
118,3540.0,0.0,28.244924813420926,24.98589818647941,21.750075184121158
119,3570.0,0.0,28.151724557379058,24.987117732597223,21.84327544093549
120,3600.0,0.0,28.061199000376607,24.988209083919713,21.93380099846762
121,3630.0,0.0,27.97327140859409,24.989185715857694,22.021728590613346
122,3660.0,0.0,27.887867244260317,24.990059687336878,22.10713275519617
123,3690.0,0.0,27.804914103914477,24.990841789691892,22.19008589571278
124,3720.0,0.0,27.724341658172563,24.99154167990973,22.27065834157179
125,3750.0,0.0,27.64608159301051,24.99216799986768,22.348918406814132
